Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-07-17,The Game,1997,https://boxd.it/1ZWIHB,3.5,,,2021-07-16
2021-07-17,Panic Room,2002,https://boxd.it/2003S7,3.5,,,2021-07-16
2021-07-17,Fear Street: 1666,2021,https://boxd.it/201QzZ,3.5,,,2021-07-16
2021-07-18,The Curious Case of Benjamin Button,2008,https://boxd.it/208SNj,3.5,,,2021-07-17
2021-07-18,Vivarium,2019,https://boxd.it/20ahkX,3.5,Yes,,2021-07-17
2021-07-19,A Fistful of Dollars,1964,https://boxd.it/20mTub,3.5,,,2021-07-18
2021-07-22,Coherence,2013,https://boxd.it/20LNLb,3.5,,,2021-07-21
2021-07-23,Pain & Gain,2013,https://boxd.it/20RRc7,3.5,,,2021-07-22
2021-07-23,The Unchanging Sea,1910,https://boxd.it/20SZCp,,,,2021-07-22
2021-07-23,New York 1911,1911,https://boxd.it/20Wxab,,,,2021-07-22
2021-07-24,Rebecca,1940,https://boxd.it/215bKf,4.5,,,2021-07-23
2021-07-25,As Good as It Gets,1997,https://boxd.it/219WOL,2.5,,,2021-07-24
2021-07-25,A Quiet Place Part II,2020,https://boxd.it/21dYfr,4,,,2021-07-24
2021-07-26,Seeking a Friend for the End of the World,2012,https://boxd.it/21mN8d,3,,,2021-07-25
2021-07-28,A Girl Walks Home Alone at Night,2014,https://boxd.it/21GAed,3,,,2021-07-27
2021-07-31,Outer Space,1999,https://boxd.it/222BY1,,,,2021-07-30
2021-07-31,The Interview,1966,https://boxd.it/222Wsl,,,,2021-07-30
2021-08-01,"Rio, Zona Norte",1957,https://boxd.it/229xrh,4,,,2021-07-31
2021-08-01,Children of Men,2006,https://boxd.it/22eHPN,4,,,2021-07-31
2021-08-02,They Don't Wear Black Tie,1981,https://boxd.it/22mIkR,4,,,2021-08-01
2021-08-02,Meshes of the Afternoon,1943,https://boxd.it/22ps0n,,,,2021-08-01
2021-08-04,The Little Rascals,1994,https://boxd.it/22GF2v,,,,2021-08-03
2021-08-08,Pig,2021,https://boxd.it/23hMAN,3.5,,,2021-08-07
2021-08-08,The Suicide Squad,2021,https://boxd.it/23hMIn,4,,,2021-08-07
2021-08-08,Old,2021,https://boxd.it/23hMNR,2.5,,,2021-08-07
2021-08-09,The Life Aquatic with Steve Zissou,2004,https://boxd.it/23t33j,3.5,,,2021-08-08
2021-08-10,Swiss Army Man,2016,https://boxd.it/23xXpt,3.5,,,2021-08-09
2021-08-15,Double Indemnity,1944,https://boxd.it/24gny5,4.5,,,2021-08-14
2021-08-16,Shiny_Flakes: The Teenage Drug Lord,2021,https://boxd.it/24nSoT,3.5,,,2021-08-15
2021-08-16,The Hateful Eight,2015,https://boxd.it/24s8F5,4,Yes,,2021-08-15
2021-08-17,On the Rocks,2020,https://boxd.it/24zdMT,3,,,2021-08-16
2021-08-18,The Mummy,1999,https://boxd.it/24JufR,3.5,,,2021-08-17
2021-08-21,Paycheck,2003,https://boxd.it/2594iR,3,,,2021-08-20
2021-08-22,Under the Silver Lake,2018,https://boxd.it/25eoQf,3.5,,,2021-08-21
